1,2,2,3,3,5,5,5,5,5,6,6,6,7,8,8,8,8,8,9,11,11,14,14,17,17,17,17,17,17,18,18,19,19,20,20,21,21,21,21,21,21,21,21,22,23,26,26,26,27,28,30,30,31,31,31,32,33,35,35,35,35,36,36,36,37,38,38,40,40,40,40,40,40,40,41,41,41,41,41,42,42,43,43,43,43,43,43,43,43,43,43,43,43,43,44,44,44,44,45,47,47,48,48,48,48,48,48,48,49,50,50,50,51,51,53,54,54,54
0,0,0,0,0,2,2,3,4,4,5,6,6,6,6,6,6,7,7,7,8,8,10,10,10,11,12,12,13,18,20,23,29,30,30,30,30,30,30,30,30,30,30,31,33,35,38,38,39,40,40,40,40,40,41,41,41,41,42,42,42,42,43,43,43,43,43,43,44,44,44,44,45,45,51,52,52,53,53,54,57,57,58,58,58,59,59,61,61,62,62,62,62,62,62,62,62,62,62,62,62,62,63,63,63,63,64,65,66,68,68,68,68,68,68,68,68,69,69
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,3,4,5,5,6,6,6,7,9,9,13,13,13,13,13,13,13,14,14,14,14,15,15,15,15,16,16,16,16,16,17,20,20,20,20,20,20,21,23,23,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,26,26,30,30,30,30,30,31,31,32,32,32,32,32,33,33,33,34,35,35,35,35,35,35,36,37,37,37,37,37,39,39,41,42,42,43,44,45,45,50,51,51,52,52,52,52,52,53,54
2,5,7,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,10,10,11,11,11,13,13,13,14,14,15,16,18,18,18,18,21,23,28,28,28,29,29,29,29,30,31,32,32,33,33,33,35,35,35,35,36,36,36,36,36,36,37,38,40,40,40,40,40,40,40,40,41,42,42,44,45,45,47,47,47,47,47,47,47,47,51,51,51,51,52,52,52,52,52,52,52,53,54,55,55,55,55,55,55,57,59,59,59,59,60,60,61,62,62,63,64,64,64
0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,5,5,5,5,6,9,10,10,11,14,15,18,19,22,24,24,24,27,31,35,37,39,40,40,40,40,41,42,43,45,45,46,47,47,48,49,49,49,49,49,49,49,51,51,51,51,52,53,53,54,54,54,54,54,54,54,54,54,54,55,60,60,62,63,63,63,64,64,65,67,68,68,68,71,71,71,71,72,74,74,75,76,76,76,76,76,77,77,77,77,77,79,79,80,81,83,83,83,83,83
0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,6,11,11,12,12,12,12,15,16,22,22,22,22,22,22,22,23,24,24,24,24,24,24,25,26,26,27,27,30,30,31,31,31,32,32,34,34,35,36,36,36,37,40,43,44,44,44,44,44,44,44,45,46,46,46,46,46,46,46,47,47,47,47,48,49,53,55,55,56,56,58,58,59,61,61,62,62,63,64,64,68,68,68,68,69,69,69,69,69,69,69,69,69,70,70,70,70,70,70,70,71,71,71,72
0,0,0,0,0,0,0,1,2,5,5,5,5,5,5,5,5,6,6,6,6,6,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,10,11,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,19,19,19,19,19,19,19,19,19,20,22,22,22,22,22,22,23,26,26,26,27,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,31,31,31,32,32,33,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,37,37
1,2,3,4,10,10,12,13,13,13,13,15,15,15,15,15,15,17,18,18,18,18,18,19,20,23,23,23,23,23,23,23,23,23,25,26,26,26,26,27,27,27,27,27,27,27,29,29,29,30,30,31,31,32,33,34,34,35,36,36,36,36,37,38,39,40,40,40,40,40,40,40,41,41,41,41,41,41,41,41,41,41,41,42,43,45,46,47,47,47,47,47,47,47,47,47,48,48,48,48,48,48,48,49,49,49,49,49,50,50,50,50,50,51,51,53,53,53,53
1,3,4,8,9,9,9,9,9,10,10,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,15,18,18,18,18,18,18,18,20,20,21,22,22,22,22,22,22,22,23,23,24,24,24,26,26,26,26,27,29,31,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,35,35,36,36,36,38,38,38,38,38
0,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,8,8,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18
